registration_number,brand,model,year,mileage,fuel_type,transmission,engine_cc,owner_type,price
UP 64 AY 2592,Tesla,Model Y,2012,229408.0,Electric,Manual,0.0,Third,2700.0
MH 28 AI 2227,BMW,X5,2013,124207.0,Hybrid,Automatic,3982.0,Third,4800.0
MH 62 HR 9107,Tesla,Model 3,2010,153462.0,Electric,Automatic,0.0,First,2700.0
MH 17 JQ 2753,Mercedes,C-Class,2015,155143.0,Petrol,Automatic,1998.0,Fourth & Above,5500.0
KA 03 TL 7644,Hyundai,Tucson,2018,141867.0,Petrol,Manual,999.0,Third,3300.0
TS 48 JN 3825,Mahindra,Bolero,2021,65306.0,CNG,Manual,1598.0,Third,9300.0
GJ 08 YD 9424,BMW,X3,2025,17963.0,Hybrid,Automatic,1998.0,Fourth & Above,33600.0
HR 98 CP 3652,Honda,Civic,2016,87310.0,Electric,Manual,0.0,First,3600.0
KA 44 WB 8593,Tata,Tiago,2011,204723.0,Hybrid,Automatic,1197.0,First,2500.0
TN 37 LQ 5514,Honda,Accord,2011,,Petrol,Automatic,1497.0,Second,2500.0
TS 69 QV 6821,Mahindra,Scorpio,2016,161802.0,Diesel,Manual,1799.0,First,2800.0
WB 26 TM 3565,Mahindra,Bolero,2023,44869.0,Diesel,Manual,1497.0,First,11600.0
DL 18 WP 1310,Mahindra,Scorpio,2023,53436.0,Diesel,Manual,1799.0,Third,10700.0
TN 58 SP 8657,Toyota,Camry,2018,98941.0,Hybrid,Automatic,999.0,First,6800.0
WB 90 IS 1049,Honda,CR-V,2011,,CNG,Manual,1999.0,First,2500.0
KL 51 ZT 9670,Hyundai,Sonata,2012,158021.0,Hybrid,Manual,1999.0,Third,2500.0
AP 13 EG 8945,Mahindra,XUV700,2012,143174.0,Petrol,Automatic,3198.0,Fourth & Above,2500.0
GJ 86 ST 5736,Mercedes,C-Class,2025,14863.0,Diesel,Manual,3982.0,Third,36300.0
KL 07 QO 9856,Audi,A4,2024,33408.0,Hybrid,Manual,,Fourth & Above,26000.0
WB 90 YT 9404,Ford,Mustang,2012,173867.0,Petrol,Automatic,2198.0,First,2500.0
GJ 04 CR 7537,Audi,Q7,2014,205027.0,Electric,Manual,0.0,Third,4300.0
TN 70 FB 1420,Mercedes,GLC,2014,116766.0,Hybrid,Manual,2993.0,Fourth & Above,6200.0
HR 77 MC 2376,Mercedes,S-Class,2011,185098.0,Petrol,Manual,3982.0,Second,2900.0
AP 75 VP 1819,Ford,Endeavour,2025,18105.0,Diesel,Automatic,4951.0,Second,24700.0
KL 71 UH 3900,Mercedes,C-Class,2021,52938.0,Petrol,Automatic,2993.0,First,20400.0
TN 78 NW 5637,Mahindra,Scorpio,2017,104507.0,Petrol,Automatic,1197.0,Fourth & Above,4300.0
HR 20 CO 1190,Audi,Q7,2022,57753.0,CNG,Automatic,2993.0,First,21000.0
MH 01 QS 4637,Ford,Endeavour,2020,55701.0,Hybrid,Manual,3198.0,Fourth & Above,10700.0
AP 62 EY 9637,Mercedes,S-Class,2022,56315.0,CNG,Manual,,Fourth & Above,26800.0
KA 76 YX 5067,Mahindra,Thar,2023,28993.0,Petrol,Automatic,1197.0,First,15600.0
AP 01 KF 5073,Hyundai,Verna,2015,202336.0,Electric,Manual,0.0,Second,2500.0
HR 97 JP 3369,Toyota,RAV4,2020,82755.0,Hybrid,Manual,1497.0,Second,9800.0
AP 52 CP 8933,Mercedes,C-Class,2013,,Diesel,Automatic,1998.0,Third,4500.0
KL 71 ED 5448,Tesla,Model 3,2014,183401.0,Electric,Manual,0.0,First,4300.0
AP 81 MI 9944,Honda,City,2018,101487.0,Petrol,Manual,1799.0,Third,4000.0
HR 89 CK 6575,Tata,Tiago,2017,138226.0,CNG,Automatic,1799.0,Third,3300.0
KL 47 HW 7250,Audi,Q5,2020,97411.0,Petrol,Manual,1998.0,Second,15200.0
GJ 97 YR 7469,Tesla,Model 3,2021,48567.0,Electric,Manual,0.0,Second,21900.0
TN 49 PA 1805,BMW,X5,2020,67816.0,Diesel,Manual,2993.0,Third,15900.0
AP 49 VI 8125,Toyota,Fortuner,2019,114684.0,CNG,Automatic,2198.0,Second,6200.0
TS 63 YO 6569,Tata,Altroz,2023,29656.0,Hybrid,Manual,1497.0,First,11600.0
TN 55 EH 7054,Maruti,Swift,2024,33884.0,Hybrid,Manual,1799.0,Second,10500.0
AP 81 KT 6685,Mercedes,GLE,2022,67748.0,Diesel,Automatic,2993.0,Third,19300.0
MH 98 ZO 8015,BMW,3 Series,2010,242867.0,Diesel,Manual,2497.0,First,2500.0
MH 36 WD 2512,Mahindra,Bolero,2019,88141.0,CNG,Manual,999.0,Fourth & Above,5600.0
GJ 02 DP 9458,Hyundai,i20,2018,109740.0,Electric,Manual,0.0,First,4700.0
TN 35 OE 7693,Tata,Altroz,2025,,Petrol,Manual,1598.0,Third,18600.0
KL 44 HN 6664,Mercedes,E-Class,2023,30205.0,Diesel,Manual,2993.0,Second,27000.0
HR 66 FJ 3095,Tesla,Model S,2022,69785.0,Electric,Automatic,0.0,Second,19900.0
AP 33 JU 7019,Honda,Amaze,2017,121826.0,Hybrid,Automatic,999.0,First,3700.0
KL 37 YR 9048,Mercedes,GLE,2020,96865.0,Petrol,Manual,2497.0,Second,13500.0
MH 63 FA 4139,Volkswagen,Polo,2024,28861.0,Diesel,Manual,1999.0,Third,15300.0
TN 09 TZ 7341,Maruti,Ertiga,2022,63681.0,Electric,Automatic,0.0,First,6900.0
GJ 19 IT 4759,BMW,3 Series,2018,93857.0,Petrol,Automatic,2993.0,Second,12100.0
HR 66 CN 6658,Hyundai,Sonata,2019,61258.0,Petrol,Manual,1598.0,Fourth & Above,6100.0
GJ 27 RL 2080,Ford,F-150,2018,88031.0,Hybrid,Automatic,4951.0,Third,6200.0
KL 65 QV 5185,Mahindra,XUV700,2024,33301.0,Petrol,Automatic,2198.0,Second,13500.0
MH 62 DI 8363,Maruti,Dzire,2023,56755.0,Diesel,Manual,1497.0,Third,7700.0
DL 72 UH 8365,Volkswagen,Jetta,2018,95293.0,Petrol,Automatic,1197.0,Third,4800.0
MH 73 GF 9471,Ford,Endeavour,2017,97613.0,Diesel,Manual,2198.0,Fourth & Above,5800.0
TN 03 CW 9552,Maruti,Swift,2016,98262.0,Petrol,Manual,1197.0,Second,2500.0
KA 38 GL 7286,Tata,Altroz,2023,36563.0,Petrol,Automatic,999.0,Fourth & Above,10200.0
KA 76 QY 1776,Honda,CR-V,2011,259531.0,CNG,Automatic,1999.0,Third,2500.0
UP 41 VZ 2600,Mahindra,Scorpio,2023,51556.0,CNG,Manual,1497.0,Second,11700.0
HR 43 XS 7212,Toyota,Camry,2016,158311.0,Electric,Automatic,0.0,Second,2900.0
KA 10 AU 7438,Mahindra,Thar,2020,52928.0,Electric,Automatic,0.0,Fourth & Above,8200.0
KA 52 TS 5405,Hyundai,Tucson,2012,215070.0,Diesel,Automatic,1598.0,First,2500.0
HR 71 EM 9753,Audi,Q7,2011,199479.0,CNG,Manual,3982.0,Fourth & Above,2600.0
GJ 82 SD 8741,Tesla,Model S,2022,41799.0,,Manual,0.0,Fourth & Above,23600.0
KA 73 OM 1382,Maruti,Dzire,2012,165455.0,,Automatic,1497.0,Second,2500.0
WB 67 SR 4060,Tesla,Model S,2017,88158.0,Electric,Automatic,0.0,Third,9900.0
TS 43 QK 2929,Tata,Nexon,2019,127657.0,Petrol,Automatic,999.0,Second,5100.0
KA 13 RV 3370,Mahindra,Bolero,2024,23176.0,Diesel,Automatic,1598.0,Third,16200.0
UP 10 OB 5330,Mercedes,C-Class,2022,72341.0,Diesel,Manual,3982.0,Second,20800.0
TN 41 NY 9286,Tesla,Model S,2021,54847.0,Electric,Automatic,0.0,Third,18700.0
TN 09 UM 4597,Ford,Mustang,2014,115637.0,Electric,Manual,0.0,First,4200.0
KL 23 QF 6375,Tesla,Model Y,2023,33464.0,Electric,Manual,0.0,Second,25400.0
KL 31 CE 7876,Tesla,Model Y,2010,140287.0,Electric,Manual,0.0,Second,3300.0
TN 79 FO 2789,Honda,City,2021,41575.0,Hybrid,Manual,999.0,First,8600.0
UP 18 GB 1537,Volkswagen,Polo,2020,60479.0,Petrol,Automatic,1598.0,Second,6700.0
WB 12 QS 6116,Mahindra,Thar,2023,45531.0,Petrol,Automatic,1999.0,Third,14000.0
DL 53 LE 5212,Maruti,Brezza,2019,75473.0,CNG,Automatic,1799.0,Fourth & Above,4400.0
GJ 11 GY 2158,Mercedes,GLE,2013,161675.0,CNG,Manual,2497.0,Fourth & Above,4600.0
KL 38 GZ 6897,Toyota,RAV4,2020,53131.0,CNG,Automatic,1999.0,Second,9000.0
GJ 56 BX 8033,Mahindra,Scorpio,2017,107039.0,Electric,Manual,0.0,Fourth & Above,5000.0
DL 49 ZU 5881,Mahindra,XUV700,2017,166061.0,Hybrid,Manual,2755.0,Third,2900.0
KL 80 KL 2311,Tata,Harrier,2011,170839.0,Electric,Automatic,0.0,First,2500.0
KL 81 WJ 1451,Hyundai,Creta,2015,,Petrol,Manual,1497.0,Third,2600.0
WB 03 EK 5832,Volkswagen,Polo,2017,82309.0,Petrol,Automatic,999.0,Fourth & Above,5000.0
TS 30 KI 2362,Tesla,Model Y,2022,37970.0,Electric,Manual,0.0,Fourth & Above,25100.0
TN 02 FN 1831,Volkswagen,Jetta,2010,274542.0,Diesel,Automatic,1799.0,Third,2500.0
UP 44 BO 5628,Honda,CR-V,2013,152295.0,Diesel,Automatic,1598.0,Third,2500.0
UP 87 LU 1459,Toyota,Highlander,2013,207264.0,Diesel,Automatic,3198.0,First,2500.0
UP 16 AI 6705,BMW,3 Series,2011,124029.0,CNG,Manual,1998.0,Third,3600.0
KA 29 UK 3855,Ford,Mustang,2016,125866.0,Hybrid,Manual,3198.0,First,4700.0
KA 05 BN 8977,Maruti,Brezza,2021,79972.0,Hybrid,Automatic,999.0,Second,5200.0
KL 34 BY 4958,Audi,A4,2010,194359.0,CNG,Manual,3982.0,First,2500.0
TS 29 AA 7432,Mahindra,Scorpio,2014,186824.0,Diesel,Automatic,1799.0,Third,2500.0
TS 02 CP 4481,Mahindra,Bolero,2022,66736.0,Hybrid,Automatic,,First,9200.0
UP 08 UF 3448,Tata,Safari,2018,76965.0,Hybrid,Manual,1799.0,Fourth & Above,5000.0
TN 46 HA 9863,BMW,5 Series,2019,80553.0,Petrol,Manual,3982.0,First,15100.0
MH 79 AJ 6480,Maruti,Dzire,2018,85043.0,Petrol,Manual,1598.0,Fourth & Above,3500.0
AP 40 FM 1760,Mahindra,Scorpio,2024,25727.0,Diesel,Manual,1799.0,Second,16700.0
MH 10 IO 8591,BMW,5 Series,2023,48660.0,Petrol,Manual,2993.0,Fourth & Above,25100.0
GJ 01 FG 8068,Toyota,Innova,2014,98911.0,Petrol,Automatic,1197.0,Second,4000.0
GJ 16 QS 9009,Tesla,Model 3,2013,191546.0,Electric,Manual,0.0,Third,3800.0
TS 71 RC 6127,Tesla,Model 3,2021,71012.0,Electric,Automatic,0.0,Second,18300.0
TS 31 PR 4538,Audi,Q7,2025,13437.0,Electric,Manual,0.0,First,39800.0
HR 07 VD 9419,Honda,Amaze,2022,57964.0,CNG,Automatic,1799.0,Second,8300.0
DL 18 VE 1969,Ford,Explorer,2025,10841.0,CNG,Manual,1799.0,Third,21100.0
TS 74 TW 4215,Mercedes,C-Class,2018,91249.0,Diesel,Manual,1998.0,First,11700.0
HR 92 WE 4588,Tesla,Model 3,2014,188225.0,Electric,Manual,,Second,4400.0
TN 98 EQ 2532,Ford,Explorer,2024,30362.0,Diesel,Manual,1497.0,Second,20800.0
DL 57 OO 6830,Tata,Safari,2011,183657.0,Petrol,Manual,1999.0,Third,2500.0
WB 88 XC 8695,Tata,Tiago,2013,185340.0,Petrol,Manual,,Second,2500.0
GJ 36 CT 7342,Mercedes,GLE,2011,250726.0,CNG,Manual,1998.0,First,2600.0
TN 47 MR 7038,Tata,Harrier,2014,168304.0,Diesel,Manual,1598.0,Fourth & Above,2500.0
MH 11 SQ 7450,Tata,Altroz,2024,39588.0,Petrol,Automatic,1999.0,Second,13000.0
AP 26 VJ 4089,Hyundai,Tucson,2011,167627.0,Hybrid,Automatic,1598.0,First,2500.0
MH 22 ME 8108,Tesla,Model 3,2023,36522.0,Electric,Automatic,0.0,Second,26600.0
GJ 90 KI 3478,Honda,Civic,2019,125828.0,Electric,Manual,0.0,Third,5000.0
HR 92 CV 7230,Honda,Amaze,2011,203042.0,CNG,Manual,1197.0,Fourth & Above,2500.0
WB 08 LR 4864,Mercedes,E-Class,2016,140190.0,Diesel,Automatic,2497.0,Fourth & Above,8000.0
TS 86 QP 7646,BMW,5 Series,2018,144736.0,Petrol,Manual,1998.0,First,9100.0
KL 52 SW 5395,Toyota,RAV4,2018,96451.0,Electric,Automatic,0.0,Fourth & Above,6000.0
HR 51 MX 9237,Tesla,Model S,2020,107261.0,Electric,Automatic,0.0,Third,13700.0
GJ 90 AS 6440,Tata,Nexon,2023,32380.0,Petrol,Manual,1497.0,Third,11700.0
TS 74 MM 5949,Audi,Q5,2012,227808.0,Electric,Manual,0.0,Third,3200.0
UP 16 IF 7304,Mahindra,XUV700,2013,216906.0,Electric,Automatic,0.0,Second,2500.0
KA 39 YK 6061,Honda,CR-V,2011,274469.0,CNG,Manual,1197.0,Second,2500.0
WB 03 AR 2998,BMW,3 Series,2024,29211.0,Electric,Manual,0.0,First,36600.0
MH 27 LV 5577,Mahindra,Scorpio,2015,105110.0,Hybrid,Automatic,1799.0,First,3300.0
WB 87 PB 2842,Tesla,Model 3,2023,53697.0,Electric,Automatic,0.0,Third,27800.0
KL 60 OE 8044,Mahindra,XUV700,2015,188401.0,Petrol,Automatic,2755.0,Third,2500.0
WB 90 LE 8197,Tata,Safari,2023,32521.0,Petrol,Automatic,1999.0,First,13300.0
KL 88 FX 3097,Maruti,Swift,2010,,CNG,Manual,999.0,First,2500.0
DL 74 WZ 3022,Honda,CR-V,2015,126827.0,Diesel,Manual,999.0,Fourth & Above,2700.0
TS 45 WE 9488,BMW,X5,2012,182870.0,Petrol,Manual,2497.0,First,3000.0
TS 79 LV 4493,Tata,Harrier,2010,225895.0,Electric,Manual,0.0,Third,2500.0
UP 78 FA 5707,BMW,5 Series,2015,108358.0,Electric,Manual,0.0,Second,8100.0
TN 61 MC 1802,Hyundai,Creta,2017,144269.0,Diesel,Automatic,999.0,Fourth & Above,3100.0
DL 49 BD 1231,Maruti,Dzire,2011,199273.0,Electric,Manual,0.0,Second,2500.0
KL 86 ZU 8122,Mahindra,Thar,2014,145987.0,CNG,Manual,1999.0,Second,2500.0
DL 28 WE 3320,Tesla,Model Y,2018,129261.0,Electric,Automatic,0.0,Third,8200.0
WB 95 SE 4016,Ford,Endeavour,2010,233575.0,Hybrid,Automatic,3198.0,Second,2500.0
AP 32 UZ 8844,Ford,F-150,2022,36018.0,CNG,Automatic,3198.0,Second,15500.0
TN 63 VK 4753,BMW,3 Series,2013,175190.0,Electric,Automatic,0.0,First,4000.0
WB 08 QZ 5699,Maruti,Brezza,2013,191211.0,Petrol,Manual,1598.0,Second,2500.0
KL 06 LK 5119,Volkswagen,Virtus,2017,,Hybrid,Automatic,1497.0,First,4100.0
UP 99 VK 6405,Audi,A4,2015,194684.0,Hybrid,Manual,2993.0,Fourth & Above,3800.0
GJ 64 LZ 4028,Tata,Safari,2010,222814.0,CNG,Automatic,,Second,2500.0
WB 64 DE 2471,Toyota,Highlander,2010,258865.0,Diesel,Automatic,2198.0,Second,2500.0
WB 59 MB 9572,Ford,F-150,2012,246998.0,Electric,Automatic,0.0,Fourth & Above,2500.0
MH 17 OU 7379,Mahindra,XUV700,2012,138058.0,Electric,Manual,0.0,First,2500.0
WB 27 UV 6058,Volkswagen,Polo,2024,38964.0,CNG,Automatic,1497.0,Fourth & Above,13000.0
KA 19 BF 2983,BMW,3 Series,2012,202724.0,Hybrid,Manual,2993.0,First,2800.0
UP 82 OZ 5654,Audi,A4,2021,86206.0,Electric,Automatic,0.0,Third,19000.0
WB 98 NP 7568,Mahindra,Thar,2011,122862.0,CNG,Automatic,1497.0,Fourth & Above,2500.0
AP 89 BI 6416,Mercedes,S-Class,2024,32555.0,Petrol,Automatic,,Second,37000.0
AP 35 SN 4055,Toyota,Camry,2023,33586.0,Diesel,Automatic,999.0,Second,16200.0
TN 89 LS 8634,Mahindra,Bolero,2012,130927.0,Hybrid,Manual,1197.0,Fourth & Above,2500.0
DL 55 JH 2283,Tesla,Model 3,2015,129921.0,Electric,Manual,0.0,Fourth & Above,6100.0
AP 85 NH 5891,Hyundai,i20,2019,123614.0,CNG,Automatic,1497.0,Fourth & Above,5100.0
UP 78 SH 4972,Hyundai,Tucson,2019,110402.0,Hybrid,Manual,1799.0,Third,4300.0
GJ 98 VV 3807,Tesla,Model Y,2018,112405.0,Electric,Automatic,0.0,Fourth & Above,9400.0
GJ 83 YQ 5417,Ford,Explorer,2011,212000.0,Diesel,Automatic,1799.0,Second,2500.0
KA 62 YB 8846,Honda,Accord,2015,100429.0,CNG,Automatic,999.0,Second,3200.0
UP 17 YE 1610,Hyundai,Tucson,2021,53157.0,Electric,Automatic,0.0,Third,8200.0
DL 73 BA 3317,BMW,3 Series,2011,,Hybrid,Automatic,2497.0,First,3200.0
GJ 91 TM 4118,Tesla,Model Y,2013,123186.0,Electric,Automatic,0.0,Fourth & Above,5600.0
KA 34 WL 5888,Hyundai,i20,2020,,Petrol,Automatic,1799.0,First,6400.0
HR 24 GN 3581,BMW,X3,2020,73678.0,Petrol,Manual,1998.0,Third,18000.0
DL 84 DA 5935,Volkswagen,Jetta,2011,250475.0,Electric,Automatic,0.0,Second,2500.0
WB 41 WW 3307,BMW,X5,2023,42905.0,Electric,Manual,0.0,First,27300.0
KA 60 IG 1615,Audi,Q5,2022,66967.0,Diesel,Manual,3982.0,Fourth & Above,22900.0
UP 36 NM 6543,Mercedes,E-Class,2020,53420.0,Hybrid,Manual,2497.0,Second,20100.0
MH 80 ZH 1152,Ford,EcoSport,2020,95805.0,Diesel,Manual,1197.0,Second,8900.0
DL 26 IN 8675,Ford,Mustang,2014,138917.0,Petrol,Manual,2198.0,Second,3000.0
AP 19 YP 6691,Mahindra,Thar,2013,193853.0,Electric,Automatic,0.0,First,2500.0
UP 72 YI 8989,Hyundai,Sonata,2011,149601.0,Diesel,Manual,1197.0,First,2500.0
KA 75 ZX 1268,Ford,Explorer,2010,166552.0,Diesel,Manual,1799.0,Second,2500.0
AP 34 VR 8578,Honda,City,2015,196984.0,Diesel,Automatic,1497.0,First,2500.0
UP 24 IB 7329,Tesla,Model 3,2025,18185.0,Electric,Automatic,0.0,Fourth & Above,32800.0
KA 24 EK 1657,Hyundai,Verna,2017,124996.0,Diesel,Automatic,1497.0,Second,3500.0
DL 58 SY 2250,Audi,Q5,2022,50903.0,Hybrid,Manual,3982.0,Second,20300.0
GJ 54 ZX 1819,Ford,Mustang,2014,111061.0,Petrol,Automatic,2755.0,First,4000.0
DL 77 EL 2696,Volkswagen,Polo,2024,,Electric,Automatic,0.0,First,15500.0
KL 50 XI 5092,Audi,Q5,2021,51183.0,Petrol,Automatic,,First,17400.0
AP 87 KV 5270,BMW,7 Series,2024,20721.0,Hybrid,Manual,1998.0,Second,31900.0
KL 03 JQ 9496,Audi,Q7,2016,174837.0,Petrol,Manual,2993.0,Second,4800.0
GJ 88 LC 6131,Mahindra,Scorpio,2010,172437.0,Diesel,Manual,1799.0,Third,2500.0
UP 95 KN 4820,BMW,X5,2025,14381.0,,Automatic,2497.0,Fourth & Above,34600.0
KA 52 LR 2371,Mercedes,E-Class,2024,37322.0,Diesel,Manual,2497.0,Third,27800.0
AP 28 BE 6205,Ford,Endeavour,2014,,Diesel,Manual,2198.0,Third,3500.0
WB 98 FB 8069,Hyundai,Verna,2022,43281.0,Diesel,Automatic,1799.0,Second,10400.0
KA 29 UR 1662,Tata,Nexon,2020,91288.0,Petrol,Automatic,1197.0,First,5900.0
MH 10 LX 5850,Toyota,RAV4,2017,137021.0,Petrol,Manual,999.0,Second,5100.0
TN 14 YS 2797,Maruti,Swift,2021,71395.0,CNG,Automatic,1598.0,Fourth & Above,5300.0
AP 23 SQ 9156,Maruti,Brezza,2018,109735.0,Hybrid,Automatic,1999.0,Second,2700.0
AP 96 JY 2945,Mahindra,Bolero,2017,149954.0,Electric,Automatic,0.0,Third,3900.0
DL 24 AJ 2047,Audi,Q7,2014,125759.0,Petrol,Manual,2497.0,Fourth & Above,5000.0
UP 99 WD 2475,Toyota,RAV4,2015,158418.0,Petrol,Automatic,,Fourth & Above,3400.0
DL 15 XR 1326,Mahindra,Bolero,2014,197670.0,CNG,Automatic,1999.0,First,2500.0
DL 96 FR 6515,Toyota,Corolla,2023,37751.0,Diesel,Manual,999.0,First,14800.0
GJ 31 RW 1031,BMW,7 Series,2022,40927.0,Hybrid,Manual,2497.0,Third,22200.0
GJ 90 NF 8493,Hyundai,i20,2015,194109.0,CNG,Manual,999.0,First,2500.0
AP 96 CQ 6508,Tata,Harrier,2017,91181.0,Diesel,Automatic,1197.0,Second,4800.0
KA 25 EV 9287,Volkswagen,Polo,2022,41900.0,Diesel,Automatic,999.0,Third,9200.0
UP 94 CQ 8813,Ford,Explorer,2017,138130.0,CNG,Manual,1197.0,Third,4700.0
AP 97 UX 7065,Hyundai,Verna,2010,197552.0,Electric,Automatic,0.0,First,2500.0
UP 17 OT 8284,Audi,A6,2010,234305.0,CNG,Manual,2497.0,Third,2500.0
TS 85 PF 1272,Tata,Nexon,2024,38143.0,Hybrid,Automatic,1799.0,Second,14300.0
TS 74 DE 6303,Tesla,Model S,2014,182686.0,Electric,Automatic,0.0,Second,4000.0
WB 56 UU 1147,Mahindra,XUV700,2019,102544.0,Diesel,Automatic,2755.0,Third,6100.0
UP 53 NS 5989,Mahindra,Scorpio,2014,168951.0,Electric,Automatic,0.0,Fourth & Above,2500.0
HR 72 LV 5656,Honda,City,2022,54626.0,CNG,Automatic,,Third,9600.0
HR 59 QU 6625,Tata,Safari,2012,247279.0,CNG,Automatic,1598.0,First,2500.0
UP 22 VU 9433,BMW,X5,2013,235813.0,,Manual,2993.0,Third,3300.0
TN 51 MJ 2002,Tata,Nexon,2020,107364.0,Petrol,Manual,1197.0,Fourth & Above,6800.0
GJ 74 RG 1674,Toyota,Fortuner,2015,122095.0,Hybrid,Manual,2198.0,Second,3800.0
GJ 45 NH 1238,Hyundai,Creta,2019,105836.0,Diesel,Automatic,1999.0,Third,5800.0
WB 52 DS 6830,Ford,EcoSport,2021,86948.0,Diesel,Manual,1999.0,Third,10100.0
UP 25 OR 5820,Volkswagen,Jetta,2010,278586.0,Electric,Automatic,0.0,First,2500.0
WB 05 AD 4343,Tata,Altroz,2011,198317.0,Petrol,Manual,1197.0,Fourth & Above,2500.0
TN 51 PI 6618,Tata,Safari,2013,112274.0,Hybrid,Automatic,1197.0,Third,2500.0
MH 15 KL 8146,Tata,Tiago,2022,67236.0,Hybrid,Manual,1197.0,Fourth & Above,10100.0
DL 82 UV 5831,Mahindra,XUV700,2020,108018.0,Diesel,Manual,2198.0,First,6200.0
TS 48 TH 8161,Mahindra,Thar,2018,106833.0,Electric,Automatic,0.0,Third,5400.0
KA 18 JK 6696,Hyundai,Sonata,2013,218524.0,CNG,Manual,999.0,Third,2500.0
WB 24 CC 8738,BMW,3 Series,2015,169614.0,CNG,Manual,2497.0,First,4700.0
TS 71 KF 3964,BMW,5 Series,2024,28595.0,Hybrid,Manual,2993.0,Third,34300.0
TS 63 LT 2376,Audi,Q5,2015,165324.0,Hybrid,Manual,1998.0,Fourth & Above,5500.0
KL 59 JI 8726,Mahindra,Thar,2011,171607.0,Petrol,Automatic,1799.0,Third,2500.0
KL 16 LS 5919,BMW,X3,2016,117226.0,Electric,Automatic,0.0,First,8600.0
KL 66 RA 4641,Tesla,Model S,2024,22146.0,Electric,Manual,0.0,First,30700.0
TN 66 PQ 9764,BMW,3 Series,2016,126623.0,Petrol,Manual,2497.0,Second,7200.0
GJ 56 FK 2025,Ford,Endeavour,2012,163064.0,CNG,Automatic,2198.0,Second,2500.0
GJ 07 DQ 2759,Hyundai,Sonata,2013,164095.0,Hybrid,Manual,1999.0,Third,2500.0
KL 96 MF 7512,Hyundai,Creta,2025,11996.0,Electric,Automatic,0.0,First,17200.0
TS 07 TS 1475,Audi,A4,2019,75968.0,Diesel,Automatic,3982.0,Fourth & Above,12500.0
GJ 30 VW 6576,Tesla,Model 3,2013,113651.0,Electric,Automatic,0.0,Second,5400.0
AP 36 XQ 9465,Ford,Mustang,2012,190280.0,CNG,Automatic,2755.0,Third,2500.0
UP 45 YQ 3071,Mercedes,S-Class,2024,30408.0,CNG,Automatic,2993.0,Fourth & Above,34800.0
GJ 25 UT 8403,Maruti,Swift,2011,148158.0,CNG,Automatic,1197.0,First,2500.0
HR 27 NP 3619,Honda,City,2010,280199.0,CNG,Automatic,1497.0,Third,2500.0
KA 11 SH 9055,Maruti,Dzire,2013,118694.0,Petrol,Manual,1598.0,Third,2500.0
UP 07 LK 3421,Maruti,Swift,2018,141967.0,,Manual,999.0,Second,2600.0
TN 97 XO 1194,Maruti,Dzire,2023,43440.0,Hybrid,Manual,1999.0,Third,8200.0
DL 69 ES 8771,Volkswagen,Tiguan,2016,95231.0,Petrol,Manual,1799.0,Second,3500.0
TS 69 ZD 9229,Mercedes,E-Class,2020,70947.0,Electric,Manual,0.0,First,18000.0
DL 52 CK 9698,Tesla,Model 3,2011,163755.0,Electric,Automatic,0.0,Second,3200.0
GJ 93 TM 5019,Mahindra,XUV700,2022,63860.0,Electric,Manual,0.0,Second,11000.0
WB 38 OV 5035,BMW,X3,2017,145104.0,Petrol,Automatic,3982.0,Third,6600.0
KA 13 MJ 5032,Honda,CR-V,2022,66774.0,Electric,Manual,0.0,Third,8200.0
MH 70 TN 7196,Tata,Tiago,2011,223356.0,Diesel,Automatic,1197.0,Fourth & Above,2500.0
WB 53 CB 2717,Tata,Nexon,2020,105026.0,CNG,Manual,1497.0,Fourth & Above,5600.0
TS 16 BG 9959,Audi,Q7,2020,87895.0,CNG,Automatic,2993.0,Fourth & Above,12500.0
GJ 14 IU 5246,Toyota,Corolla,2025,18834.0,Diesel,Automatic,1197.0,Fourth & Above,20900.0
UP 06 NP 7588,Volkswagen,Tiguan,2024,,Diesel,Automatic,999.0,Second,15400.0
TS 15 WH 6384,Mercedes,S-Class,2010,220839.0,CNG,Automatic,2993.0,Fourth & Above,2800.0
GJ 72 DZ 2731,Maruti,Dzire,2014,198996.0,Hybrid,Manual,1999.0,First,2500.0
KL 84 XL 9388,Tata,Safari,2011,155252.0,CNG,Manual,1197.0,Fourth & Above,2500.0
TN 78 AT 2846,BMW,5 Series,2016,124514.0,Electric,Manual,0.0,Third,6600.0
MH 06 IC 3791,Hyundai,Sonata,2023,54824.0,Diesel,Automatic,1497.0,Second,9800.0
HR 09 AB 9105,BMW,3 Series,2011,231048.0,Electric,Manual,0.0,First,2500.0
WB 10 BT 8908,Tesla,Model S,2018,73836.0,Electric,Automatic,0.0,Second,13400.0
KL 04 SX 8776,Tesla,Model S,2019,66452.0,Electric,Manual,0.0,Third,14500.0
KL 39 ZE 4039,Ford,EcoSport,2018,136541.0,Diesel,Manual,1497.0,Second,4800.0
UP 07 BG 6004,Mercedes,C-Class,2018,134366.0,,Manual,1998.0,Fourth & Above,8400.0
KL 89 UF 1918,Tata,Tiago,2023,29502.0,Petrol,Automatic,1197.0,First,12500.0
TS 26 NR 1510,Ford,Mustang,2011,213301.0,Diesel,Automatic,2755.0,Fourth & Above,2500.0
UP 02 AZ 8559,Toyota,RAV4,2024,27767.0,Petrol,Manual,1197.0,Fourth & Above,16300.0
